,,,nominal gross output,nominal intermediate input,nominal IT equipment capital,nominal software capital,nominal R&D capital,nominal entertainment originals capital,nominal other capital,nominal college labor input,nominal non-college labor input,gross output quantity index,intermediate input quantity index,quantity index IT equipment capital,quantity index software capital,quantity index R&D capital,quantity index entertainment originals capital,quantity index other capital,quantity index college labor input,quantity index non-college labor input,total hours
yr,indnum,Description,go.,ii.,vkit.,vksoft.,vkRD.,vkart.,vkoth.,vlcol.,vln.,goqi.,iiqi.,qkit.,qks.,qkrd.,qka.,qko.,qlindexcol_merge.,qlindexn_merge.,hrs
1951,4,"Mining, except oil and gas",7376,3469,1.9721489999999999,1.9721489999999999,0.40413900000000003,1.9721489999999999,1603.5523679999999,143.58332799999999,2153.5437010000001,0.57745000000000002,0.70728999999999997,2.3000000000000001E-4,1,6.0299999999999998E-3,1,0.46567999999999998,0.48988599999999999,2.377043,1004.2421880000001
1952,4,"Mining, except oil and gas",7123,3657,2.002948,2.002948,0.39356999999999998,2.002948,1222.5095209999999,147.69369499999999,2089.3945309999999,0.54981000000000002,0.73848999999999998,2.3000000000000001E-4,1,6.3800000000000003E-3,1,0.47502,0.48511700000000002,2.2084280000000001,954.41204800000003
1953,4,"Mining, except oil and gas",7677,4134,2.015495,2.015495,0.44478600000000001,2.015495,1261.945557,155.65614299999999,2118.906982,0.57879000000000003,0.81854000000000005,2.3000000000000001E-4,1,6.7000000000000002E-3,1,0.48487999999999998,0.48190300000000003,2.0692050000000002,900.42559800000004
1954,4,"Mining, except oil and gas",7131,3947,1.951441,1.951441,0.41852099999999998,1.951441,1244.3283690000001,134.66798399999999,1798.730957,0.56386000000000003,0.78779999999999994,2.3000000000000001E-4,1,6.9899999999999997E-3,1,0.49096000000000001,0.42259400000000003,1.716669,778.95977800000003
1955,4,"Mining, except oil and gas",8202,4379,1.8146869999999999,1.8146869999999999,0.45513100000000001,1.8146869999999999,1745.8020019999999,142.139252,1929.1595460000001,0.63246000000000002,0.84928000000000003,2.3000000000000001E-4,1,7.2500000000000004E-3,1,0.49795,0.43051200000000001,1.827404,812.76769999999999
1956,4,"Mining, except oil and gas",8739,4453,1.7465489999999999,1.7465489999999999,0.51117800000000002,1.7465489999999999,1920.338501,165.10539199999999,2194.8051759999998,0.62199000000000004,0.82072000000000001,2.3000000000000001E-4,1,7.4700000000000001E-3,1,0.50736999999999999,0.46522999999999998,1.941487,860.44164999999998
1957,4,"Mining, except oil and gas",7951,3849,1.781226,1.781226,0.52592000000000005,1.781226,1658.5672609999999,175.36251799999999,2262.2006839999999,0.57135000000000002,0.69442999999999999,2.3000000000000001E-4,1,7.6600000000000001E-3,1,0.51617999999999997,0.470468,1.874776,840.89233400000001
1958,4,"Mining, except oil and gas",6732,3266,1.7849759999999999,1.7849759999999999,0.472972,1.7849759999999999,1388.7757570000001,157.850571,1913.545654,0.50288999999999995,0.59157999999999999,2.3000000000000001E-4,1,7.3299999999999997E-3,1,0.51641000000000004,0.42821300000000001,1.5675110000000001,723.490906
1959,4,"Mining, except oil and gas",7069,3797,2.245441,2.245441,0.44331599999999999,2.245441,1297.285034,149.69162,1817.8436280000001,0.52283000000000002,0.67630999999999997,2.3000000000000001E-4,1,6.4999999999999997E-3,1,0.51073000000000002,0.415686,1.533825,708.03417999999999
1960,4,"Mining, except oil and gas",7530,3921,2.1867320000000001,2.1867320000000001,0.381907,2.1867320000000001,1458.705322,162.92652899999999,1980.426025,0.56098999999999999,0.69189999999999996,2.3000000000000001E-4,1,5.7099999999999998E-3,1,0.50700000000000001,0.44157999999999997,1.5395700000000001,709.880493
1961,4,"Mining, except oil and gas",7457,3957,1.944836,2.8431000000000001E-2,0.33263100000000001,1.944836,1446.6412350000001,159.66944899999999,1889.438721,0.56008999999999998,0.69852000000000003,2.3000000000000001E-4,1.8E-3,5.45E-3,1,0.50595999999999997,0.46670899999999998,1.4424440000000001,671.07885699999997
1962,4,"Mining, except oil and gas",7448,3941,1.850063,0.84730899999999998,0.348827,1.850063,1430.0295410000001,160.858429,1911.2158199999999,0.55857000000000001,0.69221999999999995,2.3000000000000001E-4,5.13E-3,5.1999999999999998E-3,1,0.51219000000000003,0.49149900000000002,1.4155500000000001,664.10571300000004
1963,4,"Mining, except oil and gas",7523,3759,1.6938690000000001,1.4938039999999999,0.30576300000000001,1.6938690000000001,1646.009033,161.369034,1951.434692,0.56272999999999995,0.65895000000000004,2.3000000000000001E-4,1.1469999999999999E-2,4.4900000000000001E-3,1,0.52342999999999995,0.52516600000000002,1.4171530000000001,667.13586399999997
