Quantity Index Labor Hours (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Computer and electronic products,189.78899999999999,188.44900000000001,182.06399999999999,182.60900000000001,169.708,145.11699999999999,132.27000000000001,128.679,128.38200000000001,128.50899999999999,124.794,121.325,109.81699999999999,106.988,106.902,105.351,102.89100000000001,100.896,100.905,100.503,100,99.825000000000003,102.38200000000001,97.216999999999999,97.16,100.121,98.804000000000002,96.429000000000002
"Electrical equipment, appliances, and components",153.62,152.435,152.46100000000001,150.62799999999999,137.91900000000001,123.608,116.887,112.282,108.21,109.059,107.97499999999999,106.861,91.468000000000004,89.716999999999999,91.911000000000001,95.040999999999997,94.221999999999994,94.265000000000001,95.869,98.231999999999999,100,101.492,101.401,92.861000000000004,96.622,99.498999999999995,102.17400000000001,100.377
"Motor vehicles, bodies and trailers, and parts",127.306,124.96599999999999,132.982,131.08799999999999,117.124,113.75700000000001,109.041,108.821,105.414,102.925,96.231999999999999,83.582999999999998,62.116,68.587000000000003,71.997,80.177999999999997,85.308000000000007,90.108999999999995,94.533000000000001,98.635000000000005,100,103.339,101.325,86.424999999999997,95.03,101.13,103.41200000000001,101.33799999999999
Other transportation equipment,119.06399999999999,121.604,115.277,109.03,106.684,98.893000000000001,92.861000000000004,93.367000000000004,98.557000000000002,103.708,105.566,108.16,101.70099999999999,96.62,98.216999999999999,101.51600000000001,101.411,101.607,100.5,100.37,100,103.42,107.974,96.738,97.537999999999997,102.687,107.529,110.167
Furniture and related products,155.25299999999999,161.25299999999999,167.03700000000001,167.78200000000001,158.38399999999999,152.31299999999999,146.00200000000001,145.70500000000001,144.31,138.429,131.52500000000001,116.267,93.847999999999999,86.75,88.052000000000007,89.900999999999996,93.04,96.757000000000005,96.537000000000006,98.688999999999993,100,101.458,97.861999999999995,90.215999999999994,94.168999999999997,95.566999999999993,89.006,82.007999999999996
Miscellaneous manufacturing,125.85299999999999,124.29600000000001,122.82,120.649,117.65600000000001,112.29600000000001,108.77500000000001,109.72799999999999,108.312,108.911,107.607,106.753,98.04,94.388999999999996,94.936000000000007,97.043999999999997,96.706000000000003,98.183000000000007,101.105,100.95099999999999,100,101.134,104.602,93.495000000000005,97.98,101.81699999999999,102.82599999999999,101.619
Food and beverage and tobacco products,97.293000000000006,94.674000000000007,95.661000000000001,95.11,93.495999999999995,91.549000000000007,90.13,89.284999999999997,87.013000000000005,89.450999999999993,90.923000000000002,90.111999999999995,86.914000000000001,87.2,88.013999999999996,89.349000000000004,90.69,90.941000000000003,93.600999999999999,96.727999999999994,100,101.42700000000001,105.02800000000001,100.316,104.925,107.258,107.77800000000001,109.89400000000001
Textile mills and textile product mills,287.54700000000003,270.00900000000001,263.76499999999999,251.959,222.09800000000001,206.21700000000001,183.92500000000001,171.19200000000001,161.13300000000001,151.85400000000001,137.751,124.494,105.251,101.431,99.924000000000007,100.64100000000001,101.21,99.323999999999998,101.721,102.01300000000001,100,99.578999999999994,99.427999999999997,85.951999999999998,88.066000000000003,88.191000000000003,78.664000000000001,75.680999999999997
Apparel and leather and allied products,478.82600000000002,426.339,382.36900000000003,341.42,299.77999999999997,263.06599999999997,229.095,202.8,189.91399999999999,182.81700000000001,177.74700000000001,155.31299999999999,133.99,130.351,121.75,125.191,118.73699999999999,113.446,116.15,109.819,100,95.051000000000002,95.132000000000005,77.325000000000003,77.266000000000005,85.064999999999998,79.052000000000007,73.510999999999996
Paper products,179.85,172.328,173.36600000000001,163.255,149.691,139.09100000000001,130.49299999999999,126.908,126.315,124.27500000000001,121.518,117.117,104.416,106.6,106.414,103.209,102.89700000000001,103.73399999999999,101.648,101.206,100,100.41200000000001,100.621,94.120999999999995,96.543999999999997,98.27,93.8,94.936999999999998
