Integrated Total Factor Productivity* (2017=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Administrative and support services,93.763000000000005,89.950999999999993,89.459000000000003,90.884,92.822999999999993,92.442999999999998,95.313000000000002,97.105000000000004,99.945999999999998,98.751000000000005,100.663,101.73399999999999,101.294,101.69799999999999,102.261,101.52,100.52,100.333,99.221000000000004,97.924000000000007,100,101.744,102.861,101.461,104.768,106.83,106.91200000000001,106.271
Waste management and remediation services,99.185000000000002,98.587000000000003,100.839,101.86499999999999,101.851,102.499,104.012,101.94799999999999,103.858,100.236,102.399,102.554,102.411,112.92700000000001,103.375,102.94499999999999,101.202,101.021,100.96,96.715000000000003,100,98.96,97.004000000000005,95.713999999999999,99.78,99.656000000000006,95.251999999999995,93.322999999999993
Educational services,110.06399999999999,108.101,108.834,108.822,106.92100000000001,103.60599999999999,106.25,108.765,104.898,104.75700000000001,104.114,106.416,110.131,110.747,108.76900000000001,106.304,103.631,103.545,102.413,102.283,100,99.637,99.906999999999996,97.626000000000005,97.012,99.260999999999996,99.962000000000003,100.565
Ambulatory health care services,90.843000000000004,91.209000000000003,93.465000000000003,96.477999999999994,96.174999999999997,95.203000000000003,92.105999999999995,93.875,94.638999999999996,95.320999999999998,93.995000000000005,97.19,96.972999999999999,96.144999999999996,96.346999999999994,95.034000000000006,95.57,96.281000000000006,97.644999999999996,99.215000000000003,100,99.328999999999994,100.958,98.584999999999994,100.742,102.348,105.557,107.15600000000001
Hospitals and nursing and residential care facilities,98.864999999999995,98.409000000000006,99.566999999999993,99.155000000000001,98.933000000000007,99.662999999999997,100.02200000000001,101.349,101.084,101.53700000000001,100.545,102.258,103.73099999999999,102.259,101.568,100.506,100.16200000000001,100.596,100.76300000000001,99.947000000000003,100,98.986000000000004,98.56,98.117000000000004,99.396000000000001,100.175,99.042000000000002,98.683999999999997
Social assistance,103.05,103.13200000000001,104.631,105.47499999999999,105.32,103.407,106.654,105.218,105.458,103.28400000000001,101.916,101.779,100.602,100.29300000000001,98.472999999999999,99.537000000000006,100.611,101.503,100.571,100.24,100,99.200999999999993,98.924999999999997,98.36,96.353999999999999,99.741,98.078999999999994,99.507999999999996
"Performing arts, spectator sports, museums, and related activities",77.165999999999997,82.117000000000004,81.426000000000002,83.534999999999997,88.813999999999993,88.9,89.697999999999993,88.808000000000007,86.495000000000005,89.210999999999999,88.656999999999996,89.406999999999996,93.162999999999997,95.052000000000007,97.144999999999996,101.864,100.105,101.31699999999999,96.51,97.233999999999995,100,100.351,101.902,94.942999999999998,96.902000000000001,99.537000000000006,102.982,101.971
"Amusements, gambling, and recreation industries",107.78,101.902,102.28,104.947,96.825000000000003,96.293000000000006,95.384,97.849000000000004,98.415000000000006,98.596000000000004,101.07299999999999,99.634,97.840999999999994,102.212,102.70399999999999,102.34099999999999,101.592,101.279,99.932000000000002,99.006,100,98.831000000000003,98.168999999999997,90.323999999999998,98.462999999999994,100.639,98.543999999999997,97.519000000000005
Accommodation,93.308999999999997,93.334000000000003,94.212000000000003,95.125,93.367999999999995,94.518000000000001,94.733000000000004,98.622,96.141000000000005,96.361000000000004,94.751999999999995,91.034999999999997,85.766000000000005,88.938999999999993,93.070999999999998,92.97,95.281999999999996,95.35,99.474000000000004,97.97,100,99.209000000000003,100.494,96.649000000000001,110.839,107.259,110.373,111.32299999999999
Food services and drinking places,94.284999999999997,95.912000000000006,97.790999999999997,100.36799999999999,102.029,101.559,102.4,103.509,103.824,104.48699999999999,102.631,100.76300000000001,99.102999999999994,100.551,100.614,99.602000000000004,99.04,99.756,100.187,100.40300000000001,100,98.841999999999999,99.644000000000005,94.183999999999997,99.85,100.11199999999999,99.03,98.256
"Other services, except government",114.598,114.845,113.67,113.46599999999999,106.7,105.551,104.126,105.361,105.64700000000001,105.19799999999999,103.496,101.05800000000001,99.138000000000005,98.406999999999996,96.873999999999995,97.94,97.605000000000004,99.135000000000005,99.722999999999999,99.457999999999998,100,99.759,99.388999999999996,98.003,97.906000000000006,98.061000000000007,94.210999999999999,92.539000000000001
Federal,98.691000000000003,98.819000000000003,98.727000000000004,98.736999999999995,99.287999999999997,99.369,99.846999999999994,100.345,100.965,100.848,100.636,100.301,99.608000000000004,99.388000000000005,99.590999999999994,99.858000000000004,99.888000000000005,99.600999999999999,99.647000000000006,99.894000000000005,100,100.246,100.078,100.071,99.965999999999994,99.980999999999995,99.944999999999993,99.722999999999999
State and local,99.522999999999996,99.52,99.578000000000003,99.415000000000006,99.971000000000004,100.157,100.46,100.553,101.051,101.184,101.127,100.78400000000001,100.003,99.858999999999995,99.884,100.089,100.459,100.468,100.19,100.054,100,100.557,100.533,100.56399999999999,101.04300000000001,101.399,100.929,100.563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Integrated TFP estimates differ from official estimates produced by the BLS. See http://www.bls.gov/productivity/ for the official estimates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
